Latitude,Longitude,Borough,Ward ID,Borough ID,Ward,Point Order,Sub Polygon Id
51.5342,0.0917,Barking and Dagenham,E05000031,E09000002,Eastbury,10,1
51.5365,0.0871,Barking and Dagenham,E05000031,E09000002,Eastbury,11,1
51.5357,0.0703,Barking and Dagenham,E05000032,E09000002,Gascoigne,1,1
51.5369,0.0753,Barking and Dagenham,E05000032,E09000002,Gascoigne,2,1
51.5331,0.0776,Barking and Dagenham,E05000032,E09000002,Gascoigne,3,1
51.5365,0.0871,Barking and Dagenham,E05000032,E09000002,Gascoigne,4,1
51.5342,0.0917,Barking and Dagenham,E05000032,E09000002,Gascoigne,5,1
51.531,0.1023,Barking and Dagenham,E05000032,E09000002,Gascoigne,6,1
51.5271,0.0821,Barking and Dagenham,E05000032,E09000002,Gascoigne,7,1
51.5303,0.0742,Barking and Dagenham,E05000032,E09000002,Gascoigne,8,1
51.5357,0.0703,Barking and Dagenham,E05000032,E09000002,Gascoigne,9,1
51.5312,0.1494,Barking and Dagenham,E05000033,E09000002,Goresbrook,1,1
51.5307,0.1434,Barking and Dagenham,E05000033,E09000002,Goresbrook,2,1
51.5315,0.135,Barking and Dagenham,E05000033,E09000002,Goresbrook,3,1
51.5336,0.1364,Barking and Dagenham,E05000033,E09000002,Goresbrook,4,1
51.5339,0.1239,Barking and Dagenham,E05000033,E09000002,Goresbrook,5,1
51.538,0.1238,Barking and Dagenham,E05000033,E09000002,Goresbrook,6,1
51.5383,0.1293,Barking and Dagenham,E05000033,E09000002,Goresbrook,7,1
51.5398,0.1293,Barking and Dagenham,E05000033,E09000002,Goresbrook,8,1
51.5402,0.1358,Barking and Dagenham,E05000033,E09000002,Goresbrook,9,1
51.5406,0.1419,Barking and Dagenham,E05000033,E09000002,Goresbrook,10,1
51.537,0.1451,Barking and Dagenham,E05000033,E09000002,Goresbrook,11,1
51.5355,0.144,Barking and Dagenham,E05000033,E09000002,Goresbrook,12,1
51.5348,0.1498,Barking and Dagenham,E05000033,E09000002,Goresbrook,13,1
51.5312,0.1494,Barking and Dagenham,E05000033,E09000002,Goresbrook,14,1
51.5656,0.1559,Barking and Dagenham,E05000034,E09000002,Heath,1,1
51.5611,0.1635,Barking and Dagenham,E05000034,E09000002,Heath,2,1
51.563,0.17,Barking and Dagenham,E05000034,E09000002,Heath,3,1
51.5562,0.1698,Barking and Dagenham,E05000034,E09000002,Heath,4,1
51.556,0.1648,Barking and Dagenham,E05000034,E09000002,Heath,5,1
51.554,0.1614,Barking and Dagenham,E05000034,E09000002,Heath,6,1
51.551,0.1625,Barking and Dagenham,E05000034,E09000002,Heath,7,1
51.5505,0.158,Barking and Dagenham,E05000034,E09000002,Heath,8,1
51.5505,0.1444,Barking and Dagenham,E05000034,E09000002,Heath,9,1
51.5523,0.1385,Barking and Dagenham,E05000034,E09000002,Heath,10,1
51.5541,0.1453,Barking and Dagenham,E05000034,E09000002,Heath,11,1
51.5553,0.144,Barking and Dagenham,E05000034,E09000002,Heath,12,1
51.5579,0.1439,Barking and Dagenham,E05000034,E09000002,Heath,13,1
51.5579,0.1492,Barking and Dagenham,E05000034,E09000002,Heath,14,1
51.5606,0.1495,Barking and Dagenham,E05000034,E09000002,Heath,15,1
51.5609,0.1516,Barking and Dagenham,E05000034,E09000002,Heath,16,1
51.5651,0.1521,Barking and Dagenham,E05000034,E09000002,Heath,17,1
51.5656,0.1559,Barking and Dagenham,E05000034,E09000002,Heath,18,1
51.5372,0.0952,Barking and Dagenham,E05000035,E09000002,Longbridge,1,1
51.5443,0.0817,Barking and Dagenham,E05000035,E09000002,Longbridge,2,1
51.5472,0.0901,Barking and Dagenham,E05000035,E09000002,Longbridge,3,1
51.5481,0.0939,Barking and Dagenham,E05000035,E09000002,Longbridge,4,1
